"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,client_profile_must_complete_form,,text,"Record ID",,,,,,y,,,,,,,
client_redcap_status_show,client_profile_must_complete_form,,descriptive,"Client Status: [client_redcap_status][last-instance]",,,,,,,"[client_redcap_status][last-instance] <> ''",,,,,,
client_redcap_status_none,client_profile_must_complete_form,,descriptive,"Client Status: Active",,,,,,,"[client_redcap_status][last-instance] = ''",,,,,,
client_redcap_status_value,client_profile_must_complete_form,,calc,"Client REDCap Status Value","if ([client_redcap_status][last-instance]='',1,[client_redcap_status][last-instance])",,,,,,,,,,,," @HIDDEN"
date_1st_contact,client_profile_must_complete_form,,descriptive,"Date of first contact: [encounter_date][1]",,,,,,,,,,,,,
first_name,client_profile_must_complete_form,,text,"First Name MI",,,,,,y,,y,,,,,
last_name,client_profile_must_complete_form,,text,"Last Name",,,,,,y,,y,,,,,
preferred_name,client_profile_must_complete_form,,text,"Name client prefers to be addressed by ",,,,,,,,,,,,,
address,client_profile_must_complete_form,,text,"Client's Contact Info (# Street, City, State, ZIP)",,,,,,,,y,,,,,
phone,client_profile_must_complete_form,,text,"Client Phone number  (AC+ 7 digits)",,,,,,,,y,,,,,
email,client_profile_must_complete_form,,text,"Client Email",,,,,,,,,,,,,
dob,client_profile_must_complete_form,,text,"Date of birth",,,date_ymd,,,,,y,,,,,
age,client_profile_must_complete_form,,calc,Age,"rounddown(datediff([dob],'today','y'))",,,,,,,,,,,,
gender,client_profile_must_complete_form,,radio,Gender,"1, Male | 2, Female | 3, Other | 4, Prefers not to say",,,,,,,y,,,,,
household_comp,client_profile_must_complete_form,,radio,"Household Composition","1, One person living alone | 2, Two persons in home, one able | 3, Two persons, both with problems | 4, Client living with family or friends | 5, Other (Please describe in text box, below)",,,,,,,y,,,,,
household_comp_notes,client_profile_must_complete_form,,notes,Notes,,,,,,,"[household_comp] = '5'",,,,,,
health_insurance,client_profile_must_complete_form,,radio,"Health Insurance ","1, Medicare | 2, Supplemented Medicare | 3, Medicaid | 4, Commercial/Private | 5, No insurance | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
health_insurance_notes,client_profile_must_complete_form,,notes,Notes,,,,,,,"[health_insurance] = '6'",,,,,,
end_life_docs,client_profile_must_complete_form,,yesno,"End-of-Life Documents?",,,,,,,,,,,,,
end_life_docs_notes,client_profile_must_complete_form,,notes,"Notes for above",,,,,,,,,,,,,
primary_referrer,client_profile_must_complete_form,,radio,"Primary Referral Source","1, Self | 2, Family | 3, Neighbor/Friend | 4, Primary Care Provider | 5, Community Agency | 6, Clergy | 7, Hospital/ SNF discharge coordinator | 8, FAST Squad OR Ambulance Service | 9, Other",,,,,,,y,,,,,
provider1_affiliation,client_profile_must_complete_form,,radio,"Affiliation of PCP","1, Dartmouth Hitchcock | 2, Alice Peck Day | 3, Mt. Ascutney | 4, Gifford | 5, Valley Regional | 6, Cottage | 7, New London | 9, VA | 10, Other",,,,,,,,,,,,
hospital_used,client_profile_must_complete_form,,radio,"Hospital most often used?","1, Dartmouth Hitchcock | 2, Alice Peck Day | 3, Mt. Ascutney | 4, Gifford | 5, Valley Regional | 6, Cottage | 7, New London | 9, VA | 10, Other",,,,,,,,,,,,
admitting_nurse,client_profile_must_complete_form,,text,"Admitting Nurse",,,,,,,,,,,,," @READONLY @USERNAME"
caregiver_info,contact_information,,notes,"Name & contact Info for involved relative(s)/caregiver(s) 

   - Address
   - Phone
   - Email",,,,,,,,,,,,,
number_providers,contact_information,"Care Provider(s) Information",radio,"Number of Care Providers/Specialists? ","1, 1 | 2, more than 1",,,,,,,,,,,,
provider_1,contact_information,,notes,"Name of Care Provider #1

   - Practice location
   - Phone
   - Email",,,,,,,"[number_providers] = '1' or [number_providers] = '2'",,,,,,
provider_2,contact_information,,notes,"Name of Care Provider #2

   - Practice location
   - Phone
   - Email",,,,,,,"[number_providers] = '2'",,,,,,
provider2_affiliation,contact_information,,dropdown,"Provider #2 affiliation","1, Dartmouth Hitchcock Medical Center | 2, Alice Peck Day Memorial Hospital | 3, Mt. Ascutney Hospital | 4, Gifford Medical Center | 5, Valley Regional Hospital | 6, Cottage Hospital | 7, New London Hospital | 8, Private OR Community-based Practice | 9, VA | 10, Other (please specify in the comment box)",,,,,,"[number_providers] = '2'",,,,,,
provider_3,contact_information,,notes,"Name of Care Provider #3

   - Practice location
   - Phone
   - Email",,,,,,,"[number_providers] = '2'",,,,,,
provider3_affiliation,contact_information,,dropdown,"Provider #3 affiliation","1, Dartmouth Hitchcock Medical Center | 2, Alice Peck Day Memorial Hospital | 3, Mt. Ascutney Hospital | 4, Gifford Medical Center | 5, Valley Regional Hospital | 6, Cottage Hospital | 7, New London Hospital | 8, Private OR Community-based Practice | 9, VA | 10, Other (please specify in the comment box)",,,,,,"[number_providers] = '2'",,,,,,
other_provider_info,contact_information,,notes,"Contact info for other providers/coordinators
  - VNA
  -Private care giving agency ",,,,,,,,,,,,,
encounter_date,encounters,,text,"Encounter Date",,,date_ymd,,,,,,,,,,
encounter_link_back,encounters,,descriptive,"<a href=""[redcap-version-url]DataEntry/index.php?pid=[project-id]&page=encounters&id=[record-name]&instance=[previous-instance]"" target=""_blank"">Link to previous encounter ([encounter_date][previous-instance])</a>",,,,,,,"[previous-instance] > 0",,,,,,
limited_concern,encounters,,checkbox,"Limited Concern?","1, Yes",,,,,,,,,,,,
limited_concern_notes,encounters,,notes,"Limited concern notes",,,,,,,[limited_concern(1)]='1',,,,,,
encounter_type,encounters,,checkbox,"Encounter type","1, Home visit | 2, Phone client | 3, email client | 5, Office hours | 11, Phone family | 12, Email family | 4, Family meeting | 13, Famiy in Office | 6, In-patient meeting | 10, Other",,,,,,,,,,,,
encounter_type_note,encounters,,notes,"Encounter type notes",,,,,,,,,,,,,
encounter_nurse,encounters,,text,Nurse,,,,,,,,,,,,," @READONLY @USERNAME"
encounter_progress_notes,encounters,"S-O NOTE",notes,"Subjective, objective notes for this encounter",,,,,,,,,,,,,
encounter_assess_title,encounters,ASSESSMENT,descriptive,,,,,,,,,,,,,,
encounter_stat_phys,encounters,"IMPRESSION SINCE LAST ENCOUNTER",radio,"Physical condition ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,encounter_matrix1,,
encounter_stat_emot,encounters,,radio,"Emotional status ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,encounter_matrix1,,
encounter_stat_cog,encounters,,radio,"Cognitive status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,encounter_matrix1,,
encounter_stat_note_flag,encounters,,checkbox,,"1, Show impression notes",,,,,,,,,,,,"No field label because the label on the single checkbox seems sufficient."
encounter_stat_note,encounters,,notes,"Impression notes",,,,,,,[encounter_stat_note_flag(1)]='1',,,,,,
encounter_link_to_problems,encounters,"Any new problems?",descriptive,"If new problems, (or to check) [form-link:problem_list:jump to Problem List].",,,,,,,,,,,,,
encounter_intervention,encounters,,checkbox,Interventions,"1, Care Coordination/Referrals | 2, Reassurance/emotional support | 3, Medication-related | 4, Symptom management | 5, ADL & Mobility | 6, Family & Caregiver | 7, Social risk factors/drivers | 8, IADL (Instrumental Activities of Daily Living) | 9, Referred or Helped with End-of-life documents | 10, Other",,,,,,,,,,,,
encounter_intervene_notes,encounters,,notes,"Intervention notes",,,,,,,"sum([encounter_intervention(1)],[encounter_intervention(2)],[encounter_intervention(3)],[encounter_intervention(4)],[encounter_intervention(5)],[encounter_intervention(6)],[encounter_intervention(7)],[encounter_intervention(8)],[encounter_intervention(9)],[encounter_intervention(10)]) > 0",,,,,,
encounter_todo_notes,encounters,,notes,<strong>PLAN/FOLLOW-UP</strong>,,,,,,,,,,,,,
problem_type,problem_list,,checkbox,Problem,"1, Impaired Mobility | 2, Fall Risk | 3, Social isolation/weak social support | 4, Ineffective symptom management | 5, Frailty | 6, Self-care deficit | 7, Ineffective  medication management | 8, Mental health issue | 9, Impaired cognitive function | 10, Poor nutrition/food insecurity | 11, Financial stress | 12, Transportation | 13, Struggling to remain at home; options being considered | 14, Potential for caregiver burnout | 20, Other",,,,,,,,,,,,
problem_other_note,problem_list,,notes,"Other problem",,,,,,,"[problem_type(20)] = '1'",,,,,,
problem_allergies,problem_list,,notes,Allergies,,,,,,,,,,,,,
problem_diagnose,problem_list,,notes,"Medical Diagnoses/Concerns",,,,,,,,,,,,,
social_finan,social_context,"Social Risk Factors to/ Drivers of Health",radio,Finances,"1, In crisis | 2, Struggling | 3, Indeterminate | 4, Not an issue",,,,,,,,,,,,
social_finan_note,social_context,,notes,Notes,,,,,,,"[social_finan]='1' or [social_finan]='2' or [social_finan]='3'",,,,,,
social_isol,social_context,,checkbox,"Social isolation","1, Is a concern",,,,,,,,,,,,
social_isol_note,social_context,,notes,Notes,,,,,,,[social_isol(1)]='1',,,,,,
social_trans,social_context,,checkbox,Transportation,"1, Is a concern",,,,,,,,,,,,
social_trans_note,social_context,,notes,Notes,,,,,,,[social_trans(1)]='1',,,,,,
social_house,social_context,,checkbox,Housing,"1, Is a concern",,,,,,,,,,,,
social_house_note,social_context,,notes,Notes,,,,,,,[social_house(1)]='1',,,,,,
social_food,social_context,,checkbox,"Food security","1, Is a concern",,,,,,,,,,,,
social_food_note,social_context,,notes,Notes,,,,,,,[social_food(1)]='1',,,,,,
social_safe,social_context,,checkbox,Safety,"1, Is a concern",,,,,,,,,,,,
social_safe_note,social_context,,notes,Notes,,,,,,,[social_safe(1)]='1',,,,,,
social_family,social_context,,checkbox,"Family dynamics","1, Is a concern",,,,,,,,,,,,
social_family_note,social_context,,notes,Notes,,,,,,,[social_family(1)]='1',,,,,,
social_lang,social_context,,checkbox,Culture/Language,"1, Is a concern",,,,,,,,,,,,
social_lang_note,social_context,,notes,Notes,,,,,,,[social_lang(1)]='1',,,,,,
social_other,social_context,,checkbox,Other,"1, Has other social concern",,,,,,,,,,,,
social_other_note,social_context,,notes,Notes,,,,,,,[social_other(1)]='1',,,,,,
social_future_plan,social_context,,notes,"Client's future plans",,,,,,,,,,,,,
social_end_life_plan,social_context,,checkbox,"End of Life Planning","1, Has COLST/POLST document | 2, Has Living Will/DPOAH document | 5, No interest | 7, Client is not sure",,,,,,,,,,,,
social_end_life_note,social_context,,notes,Notes???,,,,,,,'1'='1',,,,,,
func_issue,functional_health,"Functional Health",checkbox,Issues,"1, Client &/or family expressed difficulties in daily life | 2, Management of symptoms | 3, Management of medications | 4, Physical mobility, falling & fall risk, emergency plan (Fall Risk Algorithm?) | 5, Frail by Phenotype (Frailty Scale?) | 6, Cognitive Status (Mini-Cog Scoring?) | 7, Emotional & Spiritual Status | 8, Substance Abuse | 9, Hygiene and Self Care | 10, Nutrition/eating, weight (BMI calculator?) | 11, Elimination | 12, Vital signs | 13, Other",,,,,,,,,,,,
med_date_v2,medication_list,,text,"REQUIRED FIELD- Date of Medication List",,,date_ymd,,,,,y,,,,,
ormore_meds,medication_list,,yesno,"1) Are there more than 5 medications?",,,,,,,,,,,,,
med_list_start_home,medication_list,,notes,"2) Current medications",,,,,,,,,,,,,
opload_option,medication_list,,yesno,"3) Would you like to upload medication list OR image(s)?",,,,,,,,,,,,,
current_med_list_1,medication_list,,file,"3a) Current list of medications-1",,,,,,,"[opload_option] = '1'",,,,,,
current_med_list_2,medication_list,,file,"3b) Current list of medications-2",,,,,,,"[opload_option] = '1'",,,,,,
current_med_list_3,medication_list,,file,"3c) Current list of medications-2",,,,,,,"[opload_option] = '1'",,,,,,
client_redcap_status_date,status_update,,text,Date,,,date_ymd,,,,,y,,,,,
status_update_nurse,status_update,,text,Nurse,,,,,,,,,,,,," @READONLY @USERNAME"
client_redcap_status,status_update,,radio,"Change status to","1, Active | 2, Inactive | 3, Discharged",,,,,,,y,,,,,
status_update_reason,status_update,,radio,"Reason for change in status","1, Situation or illness improved | 8, Limited Concern addressed | 4, Died | 3, Moved | 2, Transferred to assisted living or long term care | 5, Declined further service | 9, Reactivated | 6, Other",,,,,,,y,,,,,
status_update_reason_note,status_update,,notes,"Notes on reason",,,,,,,[status_update_reason]='6',,,,,,
status_update_outcome,status_update,,checkbox,"Nurse-influenced Outcomes: Check all that apply","1, Less client anxiety or worry | 2, Reduced caregiver stress  | 3, Better family understanding, communication and/or dynamics | 4, Improved functioning in daily life | 5, Improved management of illness symptoms  | 6, Improved medication taking | 7, Reduced fall risk or falls | 8, Prevented hospitalization or ED visit | 9, Fewer EMT emergency calls  | 10, Able to live at home longer | 11, Smooth Transition (to home or from home) | 12, Better management of end-of-life | 13, Other",,,,,,,,,,,,
status_update_outcome_note,status_update,,notes,Notes,,,,,,,,,,,,,
six_month_date,six_month_report,,text,Date,,,date_ymd,,,,,y,,,,,
six_month_note,six_month_report,,notes,"Notes (Subjective, Objective)",,,,,,,,,,,,,
six_month_stat_phys,six_month_report,"IMPRESSION SINCE LAST ENCOUNTER",radio,"Physical condition ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,six_month_matrix1,,
six_month_stat_emot,six_month_report,,radio,"Emotional status ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,six_month_matrix1,,
six_month_stat_cog,six_month_report,,radio,"Cognitive status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,six_month_matrix1,,
six_month_stat_note,six_month_report,,notes,Notes???,,,,,,,,,,,,,
